agency_cd,site_no,Date,q_cfs,X_00060_00003_cd,Site
USGS,06752260,2020-10-01,6.64,A,Lincoln
USGS,06752260,2020-10-02,7.41,A,Lincoln
USGS,06752260,2020-10-03,7.04,A,Lincoln
USGS,06752260,2020-10-04,6.84,A,Lincoln
USGS,06752260,2020-10-05,6.79,A,Lincoln
USGS,06752260,2020-10-06,7.81,A,Lincoln
USGS,06752260,2020-10-07,6.49,A,Lincoln
USGS,06752260,2020-10-08,11.3,A,Lincoln
USGS,06752260,2020-10-09,20.2,A,Lincoln
USGS,06752260,2020-10-10,15.2,A,Lincoln
USGS,06752260,2020-10-11,11.2,A,Lincoln
USGS,06752260,2020-10-12,11.8,A,Lincoln
USGS,06752260,2020-10-13,18.4,A,Lincoln
USGS,06752260,2020-10-14,19.9,A,Lincoln
USGS,06752260,2020-10-15,18.2,A,Lincoln
USGS,06752260,2020-10-16,10.2,A,Lincoln
USGS,06752260,2020-10-17,10.5,A,Lincoln
USGS,06752260,2020-10-18,9.69,A,Lincoln
USGS,06752260,2020-10-19,11.9,A,Lincoln
USGS,06752260,2020-10-20,11.3,A,Lincoln
USGS,06752260,2020-10-21,6.03,A,Lincoln
USGS,06752260,2020-10-22,6.19,A,Lincoln
USGS,06752260,2020-10-23,98.6,A,Lincoln
USGS,06752260,2020-10-24,327,A,Lincoln
USGS,06752260,2020-10-25,418,A,Lincoln
USGS,06752260,2020-10-26,395,A,Lincoln
USGS,06752260,2020-10-27,402,A,Lincoln
USGS,06752260,2020-10-28,419,A,Lincoln
USGS,06752260,2020-10-29,351,A,Lincoln
USGS,06752260,2020-10-30,191,A,Lincoln
USGS,06752260,2020-10-31,41.4,A,Lincoln
USGS,06752260,2020-11-01,9.83,A,Lincoln
USGS,06752260,2020-11-02,9.6,A,Lincoln
USGS,06752260,2020-11-03,8.64,A,Lincoln
USGS,06752260,2020-11-04,8.56,A,Lincoln
USGS,06752260,2020-11-05,8.82,A,Lincoln
USGS,06752260,2020-11-06,12.3,A,Lincoln
USGS,06752260,2020-11-07,11.5,A,Lincoln
USGS,06752260,2020-11-08,10.4,A,Lincoln
USGS,06752260,2020-11-09,11,A,Lincoln
USGS,06752260,2020-11-10,10.4,A,Lincoln
USGS,06752260,2020-11-11,10.3,A,Lincoln
USGS,06752260,2020-11-12,9.17,A,Lincoln
USGS,06752260,2020-11-13,8.74,A,Lincoln
USGS,06752260,2020-11-14,8.27,A,Lincoln
USGS,06752260,2020-11-15,8.02,A,Lincoln
USGS,06752260,2020-11-16,8.04,A,Lincoln
USGS,06752260,2020-11-17,7.97,A,Lincoln
USGS,06752260,2020-11-18,8.01,A,Lincoln
USGS,06752260,2020-11-19,8.92,A,Lincoln
USGS,06752260,2020-11-20,10.3,A,Lincoln
USGS,06752260,2020-11-21,10.1,A,Lincoln
USGS,06752260,2020-11-22,9.97,A,Lincoln
USGS,06752260,2020-11-23,10,A,Lincoln
USGS,06752260,2020-11-24,12.4,A,Lincoln
USGS,06752260,2020-11-25,10.2,A,Lincoln
USGS,06752260,2020-11-26,10.1,A,Lincoln
USGS,06752260,2020-11-27,9.9,A,Lincoln
USGS,06752260,2020-11-28,9.87,A,Lincoln
USGS,06752260,2020-11-29,9.51,A,Lincoln
USGS,06752260,2020-11-30,9.56,A,Lincoln
USGS,06752260,2020-12-01,15.5,A,Lincoln
USGS,06752260,2020-12-02,19.6,A,Lincoln
USGS,06752260,2020-12-03,20.4,A,Lincoln
USGS,06752260,2020-12-04,17.6,A,Lincoln
USGS,06752260,2020-12-05,20.9,A,Lincoln
USGS,06752260,2020-12-06,26.8,A,Lincoln
USGS,06752260,2020-12-07,34,A,Lincoln
USGS,06752260,2020-12-08,33.9,A,Lincoln
USGS,06752260,2020-12-09,36.2,A,Lincoln
USGS,06752260,2020-12-10,39.6,A,Lincoln
USGS,06752260,2020-12-11,44.7,A,Lincoln
USGS,06752260,2020-12-12,33.6,A,Lincoln
USGS,06752260,2020-12-13,28.8,A,Lincoln
USGS,06752260,2020-12-14,23.5,A e,Lincoln
USGS,06752260,2020-12-15,35.4,A,Lincoln
USGS,06752260,2020-12-16,30.1,A,Lincoln
USGS,06752260,2020-12-17,40.7,A,Lincoln
USGS,06752260,2020-12-18,39,A,Lincoln
USGS,06752260,2020-12-19,36.7,A,Lincoln
USGS,06752260,2020-12-20,32.9,A,Lincoln
USGS,06752260,2020-12-21,37.4,A,Lincoln
USGS,06752260,2020-12-22,42.5,A,Lincoln
USGS,06752260,2020-12-23,30.9,A e,Lincoln
USGS,06752260,2020-12-24,24.6,A e,Lincoln
USGS,06752260,2020-12-25,23.6,A e,Lincoln
USGS,06752260,2020-12-26,37,A,Lincoln
USGS,06752260,2020-12-27,39.9,A,Lincoln
USGS,06752260,2020-12-28,31.8,A,Lincoln
USGS,06752260,2020-12-29,32.1,A,Lincoln
USGS,06752260,2020-12-30,31.4,A e,Lincoln
USGS,06752260,2020-12-31,22.6,A e,Lincoln
USGS,06752260,2021-01-01,27.8,A,Lincoln
USGS,06752260,2021-01-02,33.9,A,Lincoln
USGS,06752260,2021-01-03,33.1,A,Lincoln
USGS,06752260,2021-01-04,29.4,A,Lincoln
USGS,06752260,2021-01-05,25.1,A,Lincoln
USGS,06752260,2021-01-06,23.4,A,Lincoln
USGS,06752260,2021-01-07,19.3,A,Lincoln
USGS,06752260,2021-01-08,16.2,A,Lincoln
USGS,06752260,2021-01-09,16,A,Lincoln
USGS,06752260,2021-01-10,16.9,A,Lincoln
USGS,06752260,2021-01-11,22.4,A,Lincoln
USGS,06752260,2021-01-12,19.9,A,Lincoln
USGS,06752260,2021-01-13,7.24,A,Lincoln
USGS,06752260,2021-01-14,22.9,A,Lincoln
USGS,06752260,2021-01-15,35,A,Lincoln
USGS,06752260,2021-01-16,15,A,Lincoln
USGS,06752260,2021-01-17,14.4,A,Lincoln
USGS,06752260,2021-01-18,17.7,A,Lincoln
USGS,06752260,2021-01-19,17.7,A,Lincoln
USGS,06752260,2021-01-20,18.9,A,Lincoln
USGS,06752260,2021-01-21,18.5,A,Lincoln
USGS,06752260,2021-01-22,20.6,A,Lincoln
USGS,06752260,2021-01-23,20.8,A,Lincoln
USGS,06752260,2021-01-24,22.5,A,Lincoln
USGS,06752260,2021-01-25,21.8,A,Lincoln
USGS,06752260,2021-01-26,21.2,A,Lincoln
USGS,06752260,2021-01-27,21.3,A e,Lincoln
USGS,06752260,2021-01-28,25.1,A e,Lincoln
USGS,06752260,2021-01-29,31.2,A e,Lincoln
USGS,06752260,2021-01-30,29.3,A,Lincoln
USGS,06752260,2021-01-31,27.5,A,Lincoln
USGS,06752260,2021-02-01,26.2,A,Lincoln
USGS,06752260,2021-02-02,28.3,A,Lincoln
USGS,06752260,2021-02-03,30.5,A,Lincoln
USGS,06752260,2021-02-04,30.8,A,Lincoln
USGS,06752260,2021-02-05,26.2,A,Lincoln
USGS,06752260,2021-02-06,27.7,A,Lincoln
USGS,06752260,2021-02-07,28.9,A,Lincoln
USGS,06752260,2021-02-08,24.5,A,Lincoln
USGS,06752260,2021-02-09,18.9,A e,Lincoln
USGS,06752260,2021-02-10,20.3,A e,Lincoln
USGS,06752260,2021-02-11,21.6,A e,Lincoln
USGS,06752260,2021-02-12,26.8,A e,Lincoln
USGS,06752260,2021-02-13,28.1,A e,Lincoln
USGS,06752260,2021-02-14,27.2,A e,Lincoln
USGS,06752260,2021-02-15,27.2,A e,Lincoln
USGS,06752260,2021-02-16,30.3,A,Lincoln
USGS,06752260,2021-02-17,37.9,A,Lincoln
USGS,06752260,2021-02-18,54.5,A,Lincoln
USGS,06752260,2021-02-19,52.3,A,Lincoln
USGS,06752260,2021-02-20,45.8,A,Lincoln
USGS,06752260,2021-02-21,36.5,A,Lincoln
USGS,06752260,2021-02-22,28.3,A,Lincoln
USGS,06752260,2021-02-23,29.4,A,Lincoln
USGS,06752260,2021-02-24,36.3,A,Lincoln
USGS,06752260,2021-02-25,34,A,Lincoln
USGS,06752260,2021-02-26,34.8,A,Lincoln
USGS,06752260,2021-02-27,33.1,A,Lincoln
USGS,06752260,2021-02-28,34.2,A,Lincoln
USGS,06752260,2021-03-01,20.4,A,Lincoln
USGS,06752260,2021-03-02,10.4,A,Lincoln
USGS,06752260,2021-03-03,7.01,A,Lincoln
USGS,06752260,2021-03-04,7.1,A,Lincoln
USGS,06752260,2021-03-05,7.15,A,Lincoln
USGS,06752260,2021-03-06,7.4,A,Lincoln
USGS,06752260,2021-03-07,7.51,A,Lincoln
USGS,06752260,2021-03-08,7.56,A,Lincoln
USGS,06752260,2021-03-09,7.35,A,Lincoln
USGS,06752260,2021-03-10,7.89,A,Lincoln
USGS,06752260,2021-03-11,11.6,A,Lincoln
USGS,06752260,2021-03-12,15.2,A,Lincoln
USGS,06752260,2021-03-13,21.8,A,Lincoln
USGS,06752260,2021-03-14,32.3,A,Lincoln
USGS,06752260,2021-03-15,40.8,A,Lincoln
USGS,06752260,2021-03-16,17,A,Lincoln
USGS,06752260,2021-03-17,30.2,A,Lincoln
USGS,06752260,2021-03-18,24.7,A,Lincoln
USGS,06752260,2021-03-19,19.7,A,Lincoln
USGS,06752260,2021-03-20,33.1,A,Lincoln
USGS,06752260,2021-03-21,45.7,A,Lincoln
USGS,06752260,2021-03-22,35.8,A,Lincoln
USGS,06752260,2021-03-23,34.7,A,Lincoln
USGS,06752260,2021-03-24,41.9,A,Lincoln
USGS,06752260,2021-03-25,32.4,A,Lincoln
USGS,06752260,2021-03-26,25.6,A,Lincoln
USGS,06752260,2021-03-27,22.4,A,Lincoln
USGS,06752260,2021-03-28,20.6,A,Lincoln
USGS,06752260,2021-03-29,35.2,A,Lincoln
USGS,06752260,2021-03-30,50.6,A,Lincoln
USGS,06752260,2021-03-31,20.9,A,Lincoln
USGS,06752260,2021-04-01,17.9,A,Lincoln
USGS,06752260,2021-04-02,16.2,A,Lincoln
USGS,06752260,2021-04-03,15.6,A,Lincoln
USGS,06752260,2021-04-04,16.5,A,Lincoln
USGS,06752260,2021-04-05,17.8,A,Lincoln
USGS,06752260,2021-04-06,19.1,A,Lincoln
USGS,06752260,2021-04-07,20.4,A,Lincoln
USGS,06752260,2021-04-08,23.1,A,Lincoln
USGS,06752260,2021-04-09,16.6,A,Lincoln
USGS,06752260,2021-04-10,15.2,A,Lincoln
USGS,06752260,2021-04-11,15.7,A,Lincoln
USGS,06752260,2021-04-12,15.7,A,Lincoln
USGS,06752260,2021-04-13,14.8,A,Lincoln
USGS,06752260,2021-04-14,15.1,A,Lincoln
USGS,06752260,2021-04-15,16.8,A,Lincoln
USGS,06752260,2021-04-16,19.6,A,Lincoln
USGS,06752260,2021-04-17,18.1,A,Lincoln
USGS,06752260,2021-04-18,17.4,A,Lincoln
USGS,06752260,2021-04-19,19.3,A,Lincoln
USGS,06752260,2021-04-20,18.8,A,Lincoln
USGS,06752260,2021-04-21,17.5,A,Lincoln
USGS,06752260,2021-04-22,18.5,A,Lincoln
USGS,06752260,2021-04-23,20.7,A,Lincoln
USGS,06752260,2021-04-24,20.3,A,Lincoln
USGS,06752260,2021-04-25,20.9,A,Lincoln
USGS,06752260,2021-04-26,21.6,A,Lincoln
USGS,06752260,2021-04-27,22.6,A,Lincoln
USGS,06752260,2021-04-28,24.9,A,Lincoln
USGS,06752260,2021-04-29,79.9,A,Lincoln
USGS,06752260,2021-04-30,236,A,Lincoln
USGS,06752260,2021-05-01,580,A,Lincoln
USGS,06752260,2021-05-02,689,A,Lincoln
USGS,06752260,2021-05-03,1100,A,Lincoln
USGS,06752260,2021-05-04,1430,A,Lincoln
USGS,06752260,2021-05-05,1410,A,Lincoln
USGS,06752260,2021-05-06,1300,A,Lincoln
USGS,06752260,2021-05-07,1340,A,Lincoln
