site_name,state,annual_streamflow_mm,mean_baseflow,ws_area_sqkm,site_elevation,median_ws_elevation,mean_annual_precip,mean_winter_temp,mean_aridity_index,soil_sand_content,mean_soil_organic_matter,mean_soil_permeability,percent_urban,percent_forested,percent_wetland,percent_s_facing
BUSH KILL NEAR ARKVILLE NY,NY,702.6875962303026,43.41708318457694,121.0032,42031,65145,1206.5447423835994,-5.408327633435325,1.321169895467646,43.21926618383544,1.536288105843404,48.01641862749642,0.386766630965132,89.16532785909794,0.887331905271927,0.444722123051291
WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,NY,1157.555139866961,48.16746916362742,87.8508,48978,77668,1501.5877434723704,-5.949071744376226,1.679711304579055,38.99573894652693,1.490719277900656,46.68635078700298,0.012293570462648,97.92648444863336,0.836987255665287,0.41168094086792695
WEST KILL BELOW HUNTER BROOK NEAR SPRUCETON NY,NY,1040.5778454812812,42.9604479727814,12.6972,62616,89228,1641.3494022239695,-6.203070014295759,1.603223639192614,43.56866956176711,1.690895471035494,50.79999923706055,0,99.88658916926566,0.063793592288064,0.463779415934222
WEST KILL NEAR WEST KILL NY,NY,860.385959755448,43.177895894428154,73.656,42648,72350,1360.4363980993087,-5.63159508251181,1.394008804398897,45.057294641879786,1.626977046420332,56.97311393303372,0.076979472140762,95.81378299120236,0.577956989247312,0.374169110459433
MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,NY,542.2875545558474,35.80130104341105,83.8404,38941,58140,1079.117866902181,-5.070244002036516,1.066818667292989,43.25048258790601,1.607609459981815,62.54643141703811,0.109493752415303,82.52930568079351,3.633689724762764,0.42289278200008595
MINE KILL NEAR NORTH BLENHEIM NY,NY,510.4465301944614,36.16379416724939,43.7598,32141.000000000007,58338,1111.4197986806607,-5.068764178105462,1.173658320651836,36.70673359949062,1.981059792966029,49.37884918457046,0.246801859240673,80.71860474682244,3.463452758010777,0.4482538768458709
ESOPUS CREEK AT ALLABEN NY,NY,822.1470217939652,46.8279581903774,169.1902,30508,67028,1307.3009016703477,-5.208126706283927,1.448645227937764,39.79125347770391,1.540943905493479,56.761357964769125,0.315967530878645,96.6201048969648,0.727150866517017,0.373655542198155
STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY,NY,1079.277446000661,43.88111927325745,80.2485,29152,66750,1487.778038724869,-5.012860647659598,1.646513550840237,39.258905684109784,1.550695597342616,47.7268966603358,0.099814949812146,97.9442606403858,0.662816127404251,0.466763864745135
LITTLE BEAVER KILL @ BEECHFORD NR MT TREMPER NY,NY,849.8187060059596,47.59646744797097,43.1595,20649,35001,1342.2998155716796,-3.324554271859177,1.420212925213781,36.46030128408693,2.520013492862195,93.48285268290444,0.093839929932852,91.04350002085332,4.694081828418901,0.419297660257747
RONDOUT CREEK NEAR LOWES CORNERS NY,NY,956.5107483604596,49.654223009617475,99.5688,26758,62893,1473.1561079456612,-4.789820341549735,1.640613246307998,39.223717986717595,1.556357355082188,47.27840151539576,0.024177300201478,98.17058428475488,0.391314081038729,0.46445489142601204
DRY BROOK AT ARKVILLE,NY,784.7922570053568,44.787165734685765,212.7726,40980,67767,1229.102969607754,-5.61316712219547,1.361465486885705,41.41921768930376,1.595878849289155,51.22734924786987,0.308357373082812,91.55929851870025,0.831592037696583,0.401008400517736
EAST BR DELAWARE R AT MARGARETVILLE NY,NY,683.877945927988,43.09798079473712,424.1025,39641,64178,1182.746033762275,-5.385538944843717,1.315856962400037,40.39084733334192,1.68863149640416,51.12569284957488,0.418455094194622,86.75595960704912,1.137556028012423,0.401860457260365
PLATTE KILL AT DUNRAVEN NY,NY,747.2238713523152,43.180174979346866,90.4221,39479,62957,1122.9799276332967,-5.16690021440131,1.280998847028463,37.770774099935025,2.436285837158425,47.113430787545255,0.060715245498612,82.88128676507182,0.551413868954603,0.40523942708696303
MILL BROOK NEAR DUNRAVEN NY,NY,787.9648093639784,46.05383100833647,64.4517,39485,70966,1239.5733013426384,-5.882495303284192,1.368933942722701,38.67485050385744,1.619875524391923,47.93119503029391,0.004140672445205,93.5074256059184,0.599017280406338,0.354938442002981
TREMPER KILL NEAR ANDES NY,NY,633.8631163860604,43.96854208927614,85.6287,39597,60621,1154.8952686189932,-5.342435917509136,1.311980429346761,37.89508062747682,3.129396008557501,49.77285535485669,0.196546251432055,77.72510852085809,1.419967837886129,0.396235140788077
LITTLE DELAWARE RIVER NEAR DELHI NY,NY,737.3905573642486,42.80877589769364,128.9304,42992,64057,1145.326554742083,-5.065132482809863,1.312682768613634,40.142885268571334,1.612991193651045,45.195787312564136,0.124951136427096,75.00069805104151,0.725275032110348,0.42550399285195806
