site_name,state,annual_streamflow_mm,mean_baseflow,ws_area_sqkm,site_elevation,median_ws_elevation,mean_annual_precip,mean_winter_temp,mean_aridity_index,soil_sand_content,mean_soil_organic_matter,mean_soil_permeability,percent_urban,percent_forested,percent_wetland,percent_s_facing
"NEW RIVER AT NEW RIVER, TN",TN,661.9871868585739,34.35600761140402,990.4086,33331,52705,1499.1201333875372,2.539547532568577,1.372591135075819,39.24546287550849,1.755193636260528,170.02856374719798,0.909170215202089,83.99687765231441,0.272523885596308,0.36992186861059195
"CLEAR FORK NEAR ROBBINS, TN",TN,649.6073395381973,31.13605386541059,704.2896,33383,46177,1378.008521190803,2.773269407617388,1.280275661922739,36.01807866547053,1.735914687274648,151.6739737183877,2.351436278900968,66.59825722036999,0.088813010914416,0.370787292199917
"WOLF RIVER NEAR BYRDSTOWN, TN",TN,564.5723833885883,30.59007706021992,274.1112,22466,40486,1361.0029588842012,2.934604137021759,1.269275063778993,29.375998275492865,1.710747719136302,89.78580534867281,1.021719699095067,80.88320686887931,0.016310978593472,0.363653267741451
"SMITH FORK AT TEMPERANCE HALL, TN",TN,530.0684943562444,30.5132892845205,554.6574,15884,26734,1366.0665028684723,3.927797015989408,1.159388016433362,18.291806432148377,1.012415959258851,61.81728265389659,0.484190781552721,68.03432172725002,0.134515468467562,0.382413360030895
"YELLOW CREEK AT ELLIS MILLS, TN",TN,517.6654423927995,43.13805889504254,266.5089,13063,21444,1340.6422728747764,3.522952555232903,1.102001235150702,18.61958519512975,2.034105516245949,85.48883812327361,0.220181007699581,75.74868296636498,0.056396055653114,0.365392408483047
"BIG CREEK NEAR ROGERSVILLE, TN",TN,400.0506184893307,40.00026119511275,124.0563,34655,46090,1143.8126646958094,3.192626209173185,0.98678787028557,29.07709022305687,1.065874585706872,90.07072791937826,1.045513578616672,61.602588752566625,0.080535744084976,0.478324276085238
"LITTLE RIVER ABOVE TOWNSEND, TN",TN,915.4718995592845,57.21222610521281,270.9224,34169,98201,1670.027669935172,2.385367048461782,1.511704294308538,43.979402213866635,2.963436785236401,457.4062919820504,0.001993077377907,99.43894871811908,0.089688482005833,0.302097381760685
"LITTLE RIVER NEAR MARYVILLE, TN",TN,642.5091268349264,52.441401946056544,696.7582,26538,50761,1478.8957321012451,3.422261490156894,1.336599680877648,36.46191037912011,2.182503263144271,328.4203159163812,0.926604023378217,81.0631276437728,0.176563660434628,0.343768284413446
"BULLRUN CREEK NEAR HALLS CROSSROADS, TN",TN,450.8844141504621,43.12726229699613,177.2811,26636,36829,1265.7516407464584,3.693937346371659,1.14535969113567,24.780151853609546,0.937047131550837,103.02470612127604,4.191309733524894,59.42714705628519,0.495991958533651,0.45078409373588
"CLEAR CREEK AT LILLY BRIDGE NEAR LANCING, TN",TN,616.2500820195919,31.097490967769573,441.1717,32014.999999999993,49294,1375.185223812258,2.791619553411056,1.273183316603653,37.13815675138421,1.660987815490638,176.50364088164056,2.060591718873356,66.67781860020115,0.005507967172516,0.38105214627558603
