site_name,state,annual_streamflow_mm,mean_baseflow,ws_area_sqkm,site_elevation,median_ws_elevation,mean_annual_precip,mean_winter_temp,mean_aridity_index,soil_sand_content,mean_soil_organic_matter,mean_soil_permeability,percent_urban,percent_forested,percent_wetland,percent_s_facing
"HOGUE CREEK NEAR HAYFIELD, VA",VA,359.8878877745816,41.72631601787962,41.4774,21031,29518,994.1713980640864,0.366820907458693,0.929138976483224,29.099076088430422,0.904677462700393,54.63275565616022,0.611899492253613,75.00325478453327,0,0.468667274226447
"NORTH RIVER NEAR STOKESVILLE, VA",VA,578.5198511864678,45.334198507072294,44.74026,65358.000000000015,97277,1156.9331469090791,-1.833712053740483,0.989085536675737,48.84138320781222,1.62003586741906,7.577458212131624,0.020122343850612,97.7100772698004,0,0.395363811976819
"N F SHENANDOAH RIVER AT COOTES STORE, VA",VA,352.3578215966202,42.95927311757428,543.357,32195.999999999993,57664,1019.827911068845,0.053313058412177,0.893917954451872,43.58334929813908,1.278156152860732,27.165474971590793,0.31848184274155,89.80825117018576,0.001154517296318,0.38108306916878
"CEDAR CREEK NEAR WINCHESTER, VA",VA,365.426317247403,42.75204985800152,263.9817,19898,35594,997.567822042814,0.346191673424844,0.901303290765626,43.3197880729225,1.229813492389221,72.763722098251293,0.184756567994478,87.20949905929805,0.007782785831269,0.442593494944573
"CATOCTIN CREEK AT TAYLORSTOWN, VA",VA,379.28894998489767,49.487072945521696,231.9951,7814,15552,1021.4818031877138,1.188556021588799,0.951633727430404,43.1875487756344,1.016477408400371,11.77931322251878,1.663543642803661,30.189747946757297,0.819745269879696,0.380182570811172
"GOOSE CREEK NEAR MIDDLEBURG, VA",VA,385.9472900240171,42.90491531716791,315.1179,10294,19291,1053.893206995453,1.250438656054922,0.991868610001841,41.28431810242936,0.850803778753814,1.972460351878109,0.924513752034959,46.47902207751407,0.055122383114843,0.425090680604347
"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",VA,324.30591371771726,27.796242035254178,19.34224,7348.999999999999,10601,1061.5446386229858,2.090813736395464,0.928779047074436,46.02682253280246,0.948704996514869,98.11428391688912,1.04675505931612,75.259362642475,10.532682019074205,0.403396138636892
"BATTLE RUN NEAR LAUREL MILLS, VA",VA,362.3156180116567,46.01920090738465,66.6531,11788,18240,1059.6906612366588,1.732972619065729,0.954312890501251,42.174044878508845,0.906229828186372,11.574367438873296,0.846622287635534,51.15380980029436,0.044559067770291,0.41518248963664006
"HAZEL RIVER AT RIXEYVILLE, VA",VA,416.5969689701675,47.50231478945338,739.3113,9305,20621,1165.560365964339,1.358148804867369,1.026015880603297,40.18257742552357,0.93455448037069,19.68603883500877,0.36839047206625,66.49951419037187,0.225255550420489,0.422332929401733
"RAPIDAN RIVER NEAR RUCKERSVILLE, VA",VA,472.9395683221769,45.21155643487443,296.5932,14382,31878,1227.9513507920965,1.202131059242183,1.092782736159552,31.357597026309257,0.863445957409516,27.40795442780114,0.59350851942707,70.60518558079048,0.001810397110606,0.467489793886288
"ROBINSON RIVER NEAR LOCUST DALE, VA",VA,441.95952585727866,48.498456103395405,463.1463,9485,17451,1141.6932023467036,1.815093078063598,1.023298359889105,38.13303090218812,0.856970253139393,37.83041972664166,0.985636759999382,59.84883037771147,0.311345258893922,0.42350492431855796
"JACKSON RIVER NEAR BACOVA, VA",VA,365.01568673796066,40.38322539060258,407.7162,50369,80563,1076.053552972858,-1.039183043524177,1.008788434623174,48.48537899007328,1.320703346062746,28.898864836100756,0.206835048496969,80.6493340220477,0.017880084235064,0.371978596876945
"BACK CREEK NEAR SUNRISE, VA",VA,520.7581056717316,39.55213226489822,156.3408,65933,92582,1136.2745926487337,-1.894828338611488,1.105116454289605,48.78075475033156,1.353109928415381,53.92498142063151,0.024177949709865,85.06954038868932,0.280349083540573,0.380509118541034
"DUNLAP CREEK NEAR COVINGTON, VA",VA,366.244208777063,44.33064815148324,424.7766,39886,69939,1048.0026883353546,0.3370814181003,0.978364036436263,47.53241563087404,1.313847136910046,38.39642553883362,1.037135598858409,91.22386238195828,0.01419572729796,0.37106359897706
"POTTS CREEK NEAR COVINGTON, VA",VA,399.9928782139206,45.88071086714905,396.783,39226,72180,1092.7061528280674,0.611721947861654,1.001664920348386,47.76593552711377,1.361309558596987,65.8179049710876,0.399359403190821,89.94889190717203,0.005631125256498,0.361396609161616
"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",VA,423.84552548048737,41.40284371258793,1194.551,31022.000000000007,63666,1044.2431839638698,0.042587154578195,0.897832934521167,48.03362894151004,1.311867235828923,14.7386151583765,0.32156012413366,87.43858676284339,0.036992975855114,0.40440178741621
"JOHNS CREEK AT NEW CASTLE, VA",VA,429.9738838675409,48.05588381953701,276.1497,38307,65466,1095.4733867533296,0.943642428895574,1.015554055185226,49.82751560750754,1.498492169656604,11.845895005119113,0.361330810163844,91.5900820030084,0.001940899606968,0.452452811878306
"CRAIG CREEK AT PARR, VA",VA,422.6902277043298,48.02172962722059,852.3431,30931,60818,1101.9150222627684,1.428804101095666,0.985615191826638,49.259532684601275,1.483287567602924,6.289292249303271,0.513548652696183,89.41795718957611,0.002625504359387,0.439919008441521
"TYE RIVER NEAR LOVINGSTON, VA",VA,598.2752071988336,51.90775608461455,240.7671,17515,50133,1248.114871920836,1.505141173544913,1.065180453312878,36.23924750837245,0.899225623515069,3.317528813282742,0.562944380946726,79.15324555804598,0.015956894120441,0.446511006546038
"PINEY RIVER AT PINEY RIVER, VA",VA,681.5949633514635,49.52144884601633,123.3423,19481,63925,1326.983242022868,0.938433980825564,1.124875905278088,29.71858284021647,0.835835089420916,7.83859360417155,0.36046028004991,86.16824884893504,0.022619977088152,0.472662663173947
"ROCKFISH RIVER NEAR GREENFIELD, VA",VA,523.0182812109689,51.938891048158226,245.4534,16406,31403,1251.2722860506587,2.112326932168554,1.033689670276031,38.23096999257129,0.851747824656843,1.035755229225493,1.675674486480937,77.87743009467377,0.022000102667146,0.435961367819716
"SLATE RIVER NEAR ARVONIA, VA",VA,300.9025810271264,51.70497357552822,585.9927,8041,14928,1109.2770313804238,3.218294229185817,0.91297300603434,25.334016808662,0.548862917215212,50.53656812657526,0.481559586308354,66.86506085634721,1.424798560061904,0.383545618174784
"N F RIVANNA RIVER NEAR EARLYSVILLE, VA",VA,407.95313245737583,43.701256619491254,280.2519,11346,20626,1184.4453225754835,2.187227652374752,1.017731310055506,34.91378306866626,0.782576340672058,67.71097482611526,1.558811911712285,68.0507786031067,0.029865988419704,0.470787530789266
"HOLIDAY CREEK NEAR ANDERSONVILLE, VA",VA,303.56228145059436,52.804261584393274,22.00359,14615,20098,1121.6036931119293,3.187246642406059,0.929406992120802,24.202216610064045,0.474969574840998,49.691559312367104,0.077722326761024,83.89511576536039,0.949030516239876,0.43119528757260894
"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA",VA,281.6954155604175,41.955034741643985,144.8227,11418,15818,1098.8359325908914,3.656438108514183,0.924948596082168,26.369216511324463,0.443537728942538,53.40589241677112,0.726542737990914,65.30307832864095,3.179634429051766,0.418604217552626
"MEHERRIN RIVER NEAR LAWRENCEVILLE, VA",VA,299.0541657150227,39.8562889264474,1428.706,4515,12301,1125.5998566457358,4.082241526386889,0.896990088453918,35.297444127052856,0.463992710776457,67.51085709726954,0.923933067577042,62.28595602907126,2.028070743646861,0.39081427250627504
"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",VA,365.5021475743824,50.44229283353264,280.7226,41796,69624,1048.725647030634,1.29452428749393,0.890600149746562,35.35100816001737,0.817218077391086,15.381527483053771,2.125778683702575,79.5473697264948,0.128468898760784,0.38597272261847604
"TINKER CREEK NEAR DALEVILLE, VA",VA,375.24201825439616,49.593374204197126,30.5352,37678,42955,1110.80154804199,2.783586989277514,0.884897799726309,17.21318909018441,0.940810982119809,0.196126060535311,8.355930205140297,35.3012261259137,0,0.404149964630983
"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",VA,386.4169983522437,50.65741327778281,298.1079,26768,40522,1143.0977812574629,2.612727310215929,0.95393286753715,40.21801758236425,0.834142115936227,75.15030574336186,0.872807414787308,64.52706578510401,0.054644808743169,0.434571143918123
"GOOSE CREEK NEAR HUDDLESTON, VA",VA,338.7900469663383,53.89961471570914,485.4078,18843,29490,1131.7336496717835,3.015702584756255,0.910507331784799,37.93729537336804,0.567319676376764,32.53107927002842,2.124255110857304,61.00804313404111,0.036525989075577,0.434184617552499
"FALLING RIVER NEAR NARUNA, VA",VA,317.6894300105988,54.061458285117965,427.7682,13104,21307,1118.635576385719,3.080930890788869,0.933186354584988,30.32055353972699,0.666855435996218,62.787833698237826,1.054917125676944,54.896296639161115,0.574797285071681,0.44756763125449706
"CUB CREEK AT PHENIX, VA",VA,323.315518605312,49.752767751199926,252.5787,11292,18633,1124.909660723774,3.258416370812982,0.941380058432494,30.091499825779973,0.368611514866439,57.91337233316626,0.328650622101312,61.07029019602294,3.156319537554259,0.42126005143789
