site_name,state,annual_streamflow_mm,mean_baseflow,ws_area_sqkm,site_elevation,median_ws_elevation,mean_annual_precip,mean_winter_temp,mean_aridity_index,soil_sand_content,mean_soil_organic_matter,mean_soil_permeability,percent_urban,percent_forested,percent_wetland,percent_s_facing
"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",WV,364.16033502444617,40.72267689585322,463.8492,52092.99999999999,85522,1069.1580839426792,-1.434194839628765,0.9372087399605,48.64676581823632,1.292917729342649,194.52227140806113,0.098760545453134,71.05850349639495,0.027164000714025,0.366395802773832
"N F SOUTH BR POTOMAC R AT CABINS, WV",WV,511.6254400680468,37.80749953322175,804.9861,32147.000000000007,90882,1091.7715985630675,-1.799164398835196,1.011211087140174,37.042692034710775,1.266079533582724,177.0307641419803,0.103306131621403,87.71148967665405,0.004695733255518,0.362475948342462
"TYGART VALLEY RIVER NEAR DAILEY, WV",WV,702.0334475183957,33.69399681213973,487.287,59611,85702,1328.5551169750106,-1.753486506808136,1.343254662577445,32.52281475975558,1.430776900496244,118.9912366666424,0.489076130018894,87.30138208333872,0.272611921415366,0.348222943359148
"DRY FORK AT HENDRICKS, WV",WV,833.0398171565325,36.36868540568064,897.9021,52246,100536,1370.34095132369,-2.619159710878964,1.30495942430852,33.34950850102317,1.525191075247626,135.04030231133603,0.081389719436005,90.77078670380658,0.123588083823392,0.357485298230175
"BLACKWATER R NR DAVIS,WV",WV,915.3641453616324,38.712915152472746,142.4025,95831,99492,1382.3684320499287,-2.717714158822707,1.466735046527306,30.686828860730955,2.643186034476673,126.8684209886353,0.56817822720809,66.73850529309527,17.327855901406224,0.30805498498973005
"BLACKWATER R AT DAVIS, WV",WV,879.3298047114544,38.81745502728863,222.7851,93775,99891,1390.5638955425238,-2.719466118895433,1.453599485833356,36.29780054429063,2.032675598746149,177.83319009859304,0.570819143650091,71.44692351508247,13.081171047794488,0.30706272546952296
"SHAVERS FORK BELOW BOWDEN, WV",WV,1039.5403562306876,35.20964781355162,388.3293,64712,115300,1443.3216251025556,-3.272949892927828,1.405413506710835,37.71070719057641,1.675385732032813,174.91707309288265,0.54023862277392,95.78099361262272,0.03012913812124,0.36472944033967103
"MIDDLE ISLAND CREEK AT LITTLE, WV",WV,514.6072583213042,23.568403282866377,1187.292,20259,31146,1179.199040076247,0.117281459441269,1.104576650300119,25.342754328122012,2.003471237735042,39.69446430714217,0.420930352001402,88.13351037635239,0.007326438927711,0.393176743919056
"GREENBRIER RIVER AT DURBIN, WV",WV,725.2685612030671,36.90163019379744,345.0564,82795,106066,1277.9899888255954,-2.958131233931449,1.221268862405509,34.546053742807,1.666423335830366,112.11267805415216,0.158938405534064,94.18980305120252,0.234648053847191,0.376686613911908
"GREENBRIER RIVER AT BUCKEYE, WV",WV,605.4004793831735,39.06988647864905,1364.974,63697,91816,1215.71410308782,-2.094403341014424,1.189283403470992,36.58032107630549,1.442916059001665,145.6016684753517,0.260081867649271,89.31076005788941,0.356323326630373,0.386643656308283
"WILLIAMS RIVER AT DYER, WV",WV,943.3501975491716,35.5781710672869,329.6805,67415,107415,1514.6194679904718,-2.235070413923763,1.51779914149813,31.240557654581636,1.928279939031975,101.2690933915514,0.015833281010709,96.78284109118604,0.06360611164647,0.35450170207770904
"CRANBERRY RIVER NEAR RICHWOOD, WV",WV,993.5478643252196,35.07582397556277,207.415,65537,108980,1521.145840352118,-2.21421746170744,1.557027649786346,35.24855951273323,2.064574719738738,117.7431218808701,0.016055264825084,97.63814036640716,0.00954637367978,0.361794544681368
"CLEAR FORK AT WHITESVILLE, WV",WV,466.28006644942553,36.401229416545306,165.0266,25545,60742,1227.7917390145362,0.88346026363325,1.171029535011609,38.04920951273223,1.462922430989321,161.3547639020477,1.0269471364918,84.90720390054484,0.006544538310091,0.37524746535485
